seed,trial,original_action,q_margin,saliency_values,changed,faithful_top_salient,faithful_least_salient,faithful_random
1,41,3,0.10939788818359375,"[1.047864317893982, 1.0081310272216797, 1.1863534450531006]","[False, False, False]",False,False,False
1,42,3,0.08190727233886719,"[0.843332827091217, 0.9225303530693054, 1.0892086029052734]","[False, False, True]",True,False,False
1,43,0,0.07451534271240234,"[0.8829832673072815, 1.8054941892623901, 1.2209773063659668]","[False, True, False]",True,False,True
1,44,0,0.20344161987304688,"[1.1704063415527344, 0.8096114993095398, 1.1179994344711304]","[False, False, False]",False,False,False
1,45,0,0.15662574768066406,"[1.1716676950454712, 1.3246698379516602, 0.8295902013778687]","[True, False, False]",False,False,False
1,46,3,0.08335399627685547,"[0.9083713889122009, 1.0351351499557495, 1.3051785230636597]","[False, True, False]",False,False,True
1,47,3,0.26332664489746094,"[1.003669023513794, 1.033673882484436, 1.086520791053772]","[False, False, False]",False,False,False
1,48,3,0.22296142578125,"[0.8169054985046387, 1.0888036489486694, 1.0014920234680176]","[False, False, False]",False,False,False
1,49,3,0.07167911529541016,"[0.8844778537750244, 0.9937427043914795, 1.6910704374313354]","[False, True, False]",False,False,False
1,50,3,0.11739444732666016,"[1.0701429843902588, 1.0072201490402222, 1.1241778135299683]","[True, False, False]",False,False,True
1,51,3,1.1223382949829102,"[1.227785587310791, 1.0962337255477905, 0.5119664669036865]","[False, False, True]",False,True,True
1,52,3,0.06305313110351562,"[1.0123567581176758, 0.97496098279953, 0.9915708303451538]","[True, True, False]",True,True,False
1,53,3,0.2469501495361328,"[1.1666816473007202, 1.0749315023422241, 1.1846904754638672]","[False, False, False]",False,False,False
1,54,3,0.11215400695800781,"[1.0005075931549072, 0.8065119981765747, 1.251946210861206]","[False, False, False]",False,False,False
1,55,0,1.0543136596679688,"[1.2536441087722778, 0.9040349721908569, 0.9344919323921204]","[True, False, False]",True,False,False
1,56,0,0.023868560791015625,"[1.287703275680542, 1.0279157161712646, 0.938401460647583]","[False, False, False]",False,False,False
1,57,0,2.8890299797058105,"[1.8640224933624268, 1.6665120124816895, 1.9013171195983887]","[False, True, False]",False,True,False
1,58,0,0.16716766357421875,"[0.9761867523193359, 1.336816430091858, 1.8362199068069458]","[False, True, False]",False,False,True
1,59,0,0.05618572235107422,"[0.8806840181350708, 0.9491998553276062, 0.760761559009552]","[False, False, False]",False,False,False
1,60,1,0.08681488037109375,"[5.512673377990723, 10.223600387573242, 9.891036987304688]","[True, True, True]",True,True,True
